concurrent,service_type,titre,corps,note
"Scalo","web","IT Solutions for Global Credit Solution Company","""I feel confident working with them, knowing that they'll be willing to help if an unforeseen situation comes up.""

Scalo (formerly NBC IT Outsourcing) provides development staff augmentation services to a credit solutions company. They're responsible for programming, DevOps, and testing a number of projects over the long-term relationship.

The team has successfully allowed the partner to scale their development staff quickly and effectively. They provide high-quality resources that easily integrate into internal project management methodologies and standups. Their consistent daily communication built a confident remote relationship.

BACKGROUND

I work for a global company that specializes in credit bureau and business information. We provide credit solutions, outsourcing, and provision services. I'm the IT director of the company's Polish branch. I provide services mainly for the German market.

We've been collaborating with them for some years, and they've helped us on many projects so far.

They mainly provide us services in the IT solutions environment, such as development work. This includes pure programming as well as DevOps and testing. Occasionally, they provide people for analytics tasks.

All the resources from their team are integrated into our teams. We have our own development teams, and NBC IT helps us scale up projects for the German market.

We're currently working with about 30 people from NBC IT, including analysts, developers, and senior developers. We have a dedicated point of contact with whom we discuss various topics on a daily basis.

We started working with NBC IT around September 2016, and it's an ongoing engagement.

The collaboration with NBC IT is quite valuable to us. They enhance our development capabilities.

We have long-term collaborations with partners and work on projects that require deep business knowledge. Most of the people from NBC IT have been working with us for a long time, which indicates that we're satisfied with the collaboration.

Project management is typically handled by our company. The programmers and other resources from NBC IT are integrated into our team.

We generally work remotely, especially now, with the COVID pandemic. We communicate with NBC IT's team on a daily basis. We have standups and various other meetings organized remotely.

We collaborate with many providers, and NBC IT is on the top of our list of preferred companies. They care about their people. I feel confident working with them, knowing that they'll be willing to help if an unforeseen situation comes up.

For example, if a team member leaves, they'll provide a replacement quickly. If we need to increase the capacity urgently, they'll find good candidates very fast.

Prices can always be lower. Aside from that, I'm quite satisfied.

In order to get the most out of the collaboration, it's important to stay in close contact with them. From my experience, NBC IT really understands the client's needs, and they can be flexible during unique situations.","5"
"Scalo","web","IT & Software Dev Support for Tech Consulting & Software Co","""What we've been most impressed by about working with Scalo is their openness and transparency.""

Scalo provides IT specialists and development support to help accelerate the projects of a technology consulting and software company. The team's services include software development and system integration.

Scalo's work has resulted in faster project completion, improved development capacity, and stable, high-quality software releases. Their well-structured, proactive, and responsive project management has met all delivery timelines, and their openness and transparency stand out.

I'm the outsourcing manager of Televic., a technology consulting and software development company. We provide IT specialists and custom digital solutions to support clients' business and technological needs.

We engaged Scalo to provide skilled IT specialists and development support to help accelerate our software projects, strengthen our technical capabilities, and meet delivery timelines.

Scalo supports our projects by providing high-quality services in the areas of software development and system integration. The team has developed software for the rail industry.

We found them through an online search. We chose them because their pricing fit our budget, they had a great culture fit, and their company values aligned with ours.

We started working with them in July 2025, and the engagement is ongoing.

Working with Scalo results in faster project completion, improved development capacity, and stable, high-quality software releases. We've reached important internal milestones in terms of delivery dates, development speed, code quality benchmarks, and system stability.

Scalo's project management is well-structured, proactive, and responsive, with clear communication and coordination. We use virtual meetings, emails, and messaging apps to communicate, and they deliver their work on time according to the agreed schedules.

What we've been most impressed by about working with Scalo is their openness and transparency throughout the cooperation, combined with their strong technical expertise, clear communication, and proactive approach to collaboration.

Overall, the collaboration has gone very well so far. Although minor adjustments are always part of every project, there haven't been any significant areas where Scalo has had to approach things differently.

Highly professional and reliable partner, delivering quality work on time with strong communication.","5"
"Scalo","web","IT Staff Aug & Software Dev for FinTech Firm","""They're genuinely pleasant to work with, highly motivated, and consistently show ownership and commitment.""

Scalo has augmented the development team of a fintech firm to assist them with various software development projects. They've worked on the client's digital wallet, KYC, and fee management systems.

Scalo has helped the client expand their engineering capacity, improve delivery speed, and enhance development quality. Their skilled engineers have onboarded rapidly and contributed to scaling several product teams efficiently. They've also shown a smooth and reliable project management approach.

I'm the CTO of Worldcom Finance, a company that provides innovative financial solutions, including instant global money transfers, digital wallets, foreign exchange services, and prepaid cards. We simplify cross-border transactions for individuals and businesses.

We needed help expanding our development teams and strengthening our engineering capacity.

Scalo has helped us expand our development teams. The team has worked on our wallet, KYC, and fee management systems.

We've worked with 2-5 members of Scalo's team.

Someone referred Scalo to us. We chose them over other options because they were a great culture fit, offered good value for the cost, and had company values that aligned with ours.

We started working with Scalo in April 2025, and our engagement is ongoing.

Scalo's work has resulted in a strong expansion of our engineering capacity, improved delivery speed, and higher development quality. We've been able to onboard skilled engineers quickly and scale several product teams efficiently.

Project management with Scalo has been smooth and reliable. We communicate via virtual meetings, emails, and messaging apps.

What impresses me most about Scalo is their team. They're genuinely pleasant to work with, highly motivated, and consistently show ownership and commitment.

One area for improvement is setting clearer expectations with the development team regarding working hours and availability.","4"
"Scalo","web","Dev Staff Aug & Custom Software Dev for SAR Satellite Co","""From the contractor side, their commitment to delivery is impressive.""

Scalo has provided frontend and backend developers to complement internal teams for a SAR satellite company. The team has worked on web UIs, APIs, and third-party integrations.

The features developed by Scalo are critical to the business and are already used by customers. The team has delivered on time and shown great commitment to the project. Overall, the team has managed the project well, listening to the client's needs and reacting quickly to requests for feedback.

I'm a director at ICEYE. We operate the world's largest SAR satellite constellation, providing persistent, all-weather Earth monitoring data for industries like insurance, disaster response, security, maritime, and finance.

I'm in charge of the engineering domain, delivering the systems and interfaces (web UI and API) to our customers to operate and task the satellites. I needed additional software developers on the backend and frontend to deliver critical business product functionalities.

Scalo's contractors blended well into our teams and were prompt at learning about our environment. They showed great effectiveness at delivering value towards the delivery of some of our critical product features. They worked on web UIs for external and internal customer usage and platform APIs for customer integrations.

Backend developers, Frontend developers, QA engineer.

ICEYE was already working with Scalo and had a good track record in regards of the responsiveness to provide relevant profiles, but also with consideration of the quality of the service and the reasonable pricing.

We started working together in January 2024, and the engagement is ongoing.

Scalo has successfully delivered features critical to our business. Some of those features are already used by our customers.

Scalo delivered on time.

From the contractor side, their commitment to delivery is impressive. From the business side, my contacts at Scalo listen to our needs and show great reactivity when we have a need for receiving feedback and taking action when necessary.

Overall, our contractors from Scalo have done a great job in regards of our expectations.","4.5"
"Scalo","web","IT Staff Augmentation for Banking Company","""We're satisfied with the quality of their services and specialists.""

Scalo provides staff augmentation services for a banking company. The team provides a flexible body leasing model to fulfill the bank's ongoing IT staffing needs.

Scalo's work has significantly reduced recruitment time, with IT roles being filled with agility while maintaining candidate quality. The team is highly proactive, and internal stakeholders are particularly impressed by the service provider's communication skills and collaborative approach.

I am the Ekspert ds. zakupów IT of mBank. Our company is 4 the bigest bank in Poland.

Scalo to support our IT recruitment needs across a range of specialized roles: developers, tester, analysts and cloud experts.

The scope of work involved providing a flexible body leasing model to fulfill the bank's ongoing IT staffing needs. Scalo dlivered highly skiled specialists in: web, mobile, database development, testers, analysts, DevOps and cloud/infrastucture experts.

The collaboration led to a significant reduction in recrutment time, with IT roles being filed faster while maintaining high standards in candidate quality.

The project management was highly effective, characterized by excellent communication and responsiveness. The colaboration was smooth and reliable.

Scalo deliverd highy specialized IT consultants with specific need. The consistent quqlity of specialists and the ease of collaboration, even in complex projects is particularly impressive.

Scalo should not change our Senior Business Manager - met our expectations, delivering on time and providing the flexibility and responsiveness we need; we're satisfied with the quality of their services and specialists.","4.5"
"Scalo","web","Custom Software Dev for Telemedicine Solutions Company","""Scalo was collaborative and relatively well-structured.""

Scalo provided software development support for a telemedicine solutions company. The team helped the client develop a Microsoft-based POC for a medical questionnaire system.

Thanks to Scalo's work, the client was able to launch the MVP of a new service in a cost-efficient manner. The team's work fell behind expectations, and their estimations had slight variations. Still, the team was collaborative and structured, offering a good balance between price and quality.

I'm the director of innovation for a telemedicine solutions company. We also provide paramedical services.

We were looking for a company that could support us in building a small proof of concept (POC).

Scalo provided us with software development services. Initially, we provided them with some documentation about the project. From there, they helped us develop a POC using standard Microsoft development software. The software system they developed was related to medical questionnaires.

We worked with 5-10 teammates from Scalo. Our main point of contact was the lead developer.

We found them through a recommendation.

We spent around $100,000.

We worked together from July 2022-June 2024.

Scalo's work had a positive impact on our business. Thanks to them, we could launch the MVP of a new service at a lower price than we would if we had worked with internal developers. Overall, they met around 75% of our expectations.

Scalo delivered on time and on budget within the normal variation range in the software development industry. Their estimations varied between 20%-30% from the final results.

Scalo was collaborative and relatively well-structured. Although I've worked with more structured companies, Scalo's structure was good, and they were a solid company. They offered a good balance between price and quality.

Scalo could have improved the quality of their code. The software architecture wasn't always satisfying for us.

Have a software architect in your team to manage Scalo's software developers and do a code quality review.","4"
"Scalo","web","Development Staff Augmentation for IT Solutions Company","""Scalo can adapt to changing project needs with ease, proving their wide-ranging technological expertise.""

An IT solutions company has hired Scalo for staff augmentation to build a resource management system for an end client's client. Tasks include building HR, material resource management, and planning modules.

The system meets requirements and is currently in operational use. Scalo has delivered on time despite tight deadlines and is proactive with plans and risk management strategies. They excel at effective communication and flexibility, and their partner-like approach leads to real-time responsiveness.

I am the Project Manager of Asseco Poland S.A. Complex IT solutions for public and private sectors.

The specific goal was timely delivery of the dedicated IT system for the external customer.

Scalo provided team augmentation services for us to develop a new version of a dedicated system for resource management, designed for our client's client, an EU Governmental agency. The project focused on creating modules for human resource management, material resource management, planning and coordination of activities, and integrating additional modules with enhanced security.

We developed project management systems, along with tools for internal and external collaboration and event management, emphasizing robust security features and compliance with EU regulations.

Customer needs taylored application that was deployed to production and is in operational use today.

The Scalo team demonstrated ability to deliver items on time, even when faced with tight deadlines or unexpected challenges. Their proactive planning and risk management strategies were key factors in maintaining project timelines and ensuring that all deliverables met our high-quality standards.

Scalo excels in fostering proactive communication and demonstrating exceptional flexibility in delivering services, ensuring proposed solutions are perfectly aligned with client-specific requirements. Their approach is deeply rooted in forming strong partnerships and maintaining open lines of communication throughout the project lifecycle, allowing for real-time responses to any arising challenges.

Known for their agility, Scalo can adapt to changing project needs with ease, proving their wide-ranging technological expertise that transcends industry boundaries. This commitment to understanding and achieving clients' objectives, coupled with their adaptable project management strategies, deserves special recognition.

No special areas for improvement.

Very good cooperation, flexilibity, openess to project needs, timely delivery.","5"
"Scalo","web","IT Staff Augmentation for Pet-Related Retail & E-Comm Plat","""They are a reliable partner who understands our needs.""

A pet-related retail and e-commerce company has hired Scalo for staff augmentation. The team primarily works in a Java environment and with the client to produce customized internal solutions.

The client has been satisfied with the work from Scalo, and the team delivers on their commitments. Scalo's team has been onboarded quickly, delivered immediate value, and is highly organized. The client has been impressed with the service provider's reliability and understanding of their needs.

I am the head of engineering for Zooplus, a pet-related retail and e-commerce platform.

Our goal is to scale our business; we hired Scalo to help us do that.

The developers from Scalo primarily work in a Java environment; their team acts as an extension of our existing team. Scalo's developers have been responsible for handing over full products; one of these products includes a customer service program. This product enables our customers to self-service and cancel orders. The majority of software we produce is internal custom-made solutions, so we purely use Scalo's software engineers.

We work with less than 10 software engineers from Scalo.

We had a connection with an individual at Scalo. We knew this person was reliable, so we decided to move forward with them.","5"
"Scalo","web","IT Staff Augmentation for Digital Consulting Company","Scalo provides IT staff augmentation services for a digital consulting company. They find suitable candidates for in-house teams and end-client projects, also taking care of technical interviews. The client has been satisfied with Scalo's service. The team has been able to find excellent candidates that meet the challenging requirements. Moreover, the tenure is good in general, and the client wants to keep working with the teammates. They communicate well through Slack and weekly meetings.","4"
"Scalo","web","Custom Software Dev for Automotive Company","Scalo has provided custom software development services to an automotive company. They've supplied the client with two development teams of varied skill sets to build a product-critical application. Scalo has provided the client with highly-skilled resources who've contributed to projects from day one. The team has sprung into action quickly to meet the client's concerns with thoughtful, effective solutions. They've been a responsive partner, and the client has been pleased with the engagement.","4.5"
