nom,taux_horaire,budget_minimum_projet,cout_moyen_projet,note,nombre_avis,ville,pays
"Goji Labs","$100 - $149 / hr","$25,000+","$50,000 - $199,999 avg. project cost","5","87","Los Angeles","United States"
"Mercury Development","$50 - $99 / hr","$25,000+","No content available","5","34","Aventura","United States"
"Kingsmen Digital Ventures","$150 - $199 / hr","$10,000+","No content available","5","14","Irvine","United States"
"Utility","$100 - $149 / hr","$50,000+","$50,000 - $199,999 avg. project cost","4.8","26","New York City","United States"
"AppMakers USA","$100 - $149 / hr","$10,000+","$10,000 - $49,000 avg. project cost","5","101","Los Angeles","United States"
"ChopDawg.com","$50 - $99 / hr","$1,000+","$50,000 - $199,999 avg. project cost","4.8","112","Philadelphia","United States"
"Empat","$25 - $49 / hr","$10,000+","$50,000 - $199,999 avg. project cost","5","148","San Francisco","United States"
"Konstant Infosolutions","$25 - $49 / hr","$5,000+","No content available","4.9","173","Jaipur","India"
"Tapptitude","$25 - $49 / hr","$5,000+","$10,000 - $49,000","4.9","71","Cluj-Napoca","Romania"
"WOLFPACK DIGITAL","$50 - $99 / hr","$10,000+","$50,000 - $199,999","5","76","Cluj-Napoca","Romania"
"3 SIDED CUBE","$100 - $149 / hr","$50,000+","Less than $10,000","4.9","49","Bournemouth","England"
"TELUS Digital","$100 - $149 / hr","$50,000+","$50,000 - $199,999","4.9","36","Charlottesville","USA"
"Dedicated Developers","$50 - $99 / hr","$25,000+","$200,000 - $999,999","5","56","Atlanta","USA"
"Somnio Software","$50 - $99 / hr","$10,000+","$50,000 - $199,999","5","46","Montevideo","Uruguay"
"Droids On Roids","$50 - $99 / hr","$75,000+","$50,000 - $199,999","4.9","78","Wrocław","Poland"
"TRIARE, LLC","$25 - $49 / hr","$10,000+","Unknown avg. project cost","4.9","39","Cherkasy","Ukraine"
"Infowind Technologies IT Pvt Ltd","< $25 / hr","$5,000+","$10,000 - $49,000","4.9","72","Indore","India"
"Blue Whale Apps","$150 - $199 / hr","$50,000+","$50,000 - $199,999","4.8","24","Herndon","VA"
"Analogue IT Solutions","$25 - $49 / hr","$25,000+","Less than $10,000","5","3","Hyderabad","India"
"Findigo","$25 - $49 / hr","$10,000+","$50,000 - $199,999","5","11","No content available","No content available"
"Calibrate Software","$50 - $99 / hr","$25,000+","$200,000 - $999,999","4.9","39","Chicago","IL"
"Darly Solutions","$50 - $99 / hr","$1,000+","$10,000 - $49,000 avg. project cost","5","33","McKinney","TX"
"SolveIt","$25 - $49 / hr","$10,000+","No content available","5","51","Warszawa","Poland"
"EB Pearls","$25 - $49 / hr","$5,000+","No content available","5","60","Surry Hills","Australia"
"NERDZ LAB","$25 - $49 / hr","$5,000+","$10,000 - $49,000 avg. project cost","5","52","L'viv","Ukraine"
"Kevych Solutions","$25 - $49 / hr","$5,000+","No content available","5","24","L'viv","Ukraine"
"Phenomenon Studio","$50 - $99 / hr","$10,000+","$10,000 - $49,000 avg. project cost","5","51","Dover","DE"
"Mind Studios","$25 - $49 / hr","$10,000+","$50,000 - $199,999 avg. project cost","4.9","34","Dnipro","Ukraine"
"Pixel Appy","$100 - $149 / hr","$25,000+","No content available","5","18","Austin","TX"
"Futured","$50 - $99 / hr","$50,000+","$50,000 - $199,999","4.9","43","Brno","Czech Republic"
"Promatics Technologies","< $25 / hr","$5,000+","$10,000 - $49,000","4.8","79","Gurugram","India"
"HotShots Labs | IOS & Android | Flutter mobile app development","$25 - $49 / hr","$10,000+","$10,000 - $49,000","5","15","Kyiv","Ukraine"
"Camber-The App Agency","$150 - $199 / hr","$50,000+","$50,000 - $199,999","4.9","21","Raleigh, NC","No content available"
"Euvic","$50 - $99 / hr","$25,000+","$10,000 - $49,000","4.8","22","Gliwice","Poland"
"Lizard Global","$50 - $99 / hr","$10,000+","Unknown avg. project cost","5","70","Amsterdam","Netherlands"
"Simpalm","Undisclosed","$10,000+","No content available","4.9","64","Rockville, MD","United States"
"Mass Software Solutions Private Limited","< $25 / hr","$5,000+","$50,000 - $199,999","4.9","25","Kolkata","India"
"Neon Apps","$25 - $49 / hr","$10,000+","$10,000 - $49,000","4.9","11","İstanbul","Türkiye"
"Intermedia IT","$25 - $49 / hr","$5,000+","$10,000 - $49,000","4.9","36","Tandil","Argentina"
"Cultivate Brands","$150 - $199 / hr","$25,000+","$50,000 - $199,999","4.9","26","Chicago, IL","United States"
"Arch","$100 - $149 / hr","$50,000+","$50,000 - $199,999","4.7","30","Gateshead","England"
"Matrix Media Solutions (P) Ltd.","< $25 / hr","$1,000+","$10,000 - $49,000","4.9","46","Kolkata","India"
"Designli","$50 - $99 / hr","$10,000+","No content available","5","82","Greenville","SC"
"Kode Creators","< $25 / hr","$5,000+","Less than $10,000","5","19","Vadodara","India"
"PixelForce","$150 - $199 / hr","$50,000+","No content available","5","9","Kent Town","Australia"
"Atomic Object","$150 - $199 / hr","$25,000+","No content available","4.9","52","Grand Rapids","MI"
"You are launched","$25 - $49 / hr","$10,000+","$50,000 - $199,999","5","59","Limassol","Cyprus"
"Memory Squared","$50 - $99 / hr","$5,000+","$50,000 - $199,999","5","28","Kraków","Poland"
"TechnoYuga","< $25 / hr","$10,000+","$10,000 - $49,000","5","64","New Delhi","India"
"Emizen Tech","< $25 / hr","$5,000+","$10,000 - $49,000","4.9","149","Dallas","TX"
"JPLoft","$50 - $99 / hr","$10,000+","$10,000 - $49,000","5","96","Denver","CO"
"LeanCode","$50 - $99 / hr","$25,000+","$50,000 - $199,999","5","40","Warszawa","Poland"
"Suffescom Solutions Inc","$25 - $49 / hr","$25,000+","$10,000 - $49,000","4.9","121","New York","NY"
"Synergy Labs","$50 - $99 / hr","$25,000+","No content available","4.9","45","Hollywood","FL"
"MindSea","$150 - $199 / hr","$10,000+","$10,000 - $49,000","5","42","Halifax","Canada"
"Phaedra Solutions","$25 - $49 / hr","$10,000+","$10,000 - $49,000","4.9","28","Dubai","United Arab Emirates"
"mobitouch","$50 - $99 / hr","$25,000+","$10,000 - $49,000","5","59","Rzeszów","Poland"
"Hyperlink InfoSystem","$25 - $49 / hr","$25,000+","1,000 - 9,999","38.8","20","Jersey City, NJ","No content available"
"GeekyAnts","$25 - $49 / hr","$10,000+","250 - 999","39.9","20","Bengaluru","India"
"Quytech","< $25 / hr","$25,000+","250 - 999","39.7","20","Gurugram","India"
"Inventco Software","$25 - $49 / hr","$5,000+","50 - 249","38.3","20","Jaipur","India"
"STRV","$100 - $149 / hr","$100,000+","50 - 249","38.2","20","Prague","Czech Republic"
"Ackee","$50 - $99 / hr","$25,000+","50 - 249","38.2","20","Karlín","Czech Republic"
"Lampa Software","$25 - $49 / hr","$25,000+","50 - 249","38.2","20","Vinnytsia","Ukraine"
"Trango Tech","$25 - $49 / hr","Undisclosed","250 - 999","38.1","20","Dubai","United Arab Emirates"
"Cogniteq","$50 - $99 / hr","$10,000+","$10,000 - $49,000","4.9","45","Ząbki","Poland"
